Underlying,Strike,Time_to_Maturity,Risk_Free_Rate,Implied_Volatility,Market_Call_Price
3000.0,1500.0,0.1,0.04,0.3158113883008419,1505.9880159840552
3000.0,1530.3030303030303,0.1,0.04,0.31129654287690556,1475.8059557009506
3000.0,1560.6060606060605,0.1,0.04,0.30684291569600564,1445.6238954178932
3000.0,1590.909090909091,0.1,0.04,0.30245050675814217,1415.4418351349318
3000.0,1621.2121212121212,0.1,0.04,0.29811931606331504,1385.2597748521653
3000.0,1651.5151515151515,0.1,0.04,0.2938493436115245,1355.0777145697832
3000.0,1681.8181818181818,0.1,0.04,0.28964058940277027,1324.895654288168
3000.0,1712.121212121212,0.1,0.04,0.2854930534370525,1294.7135940080636
3000.0,1742.4242424242425,0.1,0.04,0.2814067357143711,1264.5315337309326
3000.0,1772.7272727272727,0.1,0.04,0.27738163623472617,1234.3494734596263
3000.0,1803.030303030303,0.1,0.04,0.27341775499811766,1204.1674131996865
3000.0,1833.3333333333335,0.1,0.04,0.26951509200454554,1173.9853529618497
3000.0,1863.6363636363635,0.1,0.04,0.26567364725400994,1143.8032927668419
3000.0,1893.939393939394,0.1,0.04,0.2618934207465107,1113.6212326545292
3000.0,1924.2424242424242,0.1,0.04,0.25817441248204787,1083.4391727013199
3000.0,1954.5454545454545,0.1,0.04,0.2545166224606215,1053.2571130531032
3000.0,1984.848484848485,0.1,0.04,0.25092005068223155,1023.0750539873304
3000.0,2015.151515151515,0.1,0.04,0.247384697146878,992.8929960294229
3000.0,2045.4545454545455,0.1,0.04,0.2439105618545609,962.710940169864
3000.0,2075.757575757576,0.1,0.04,0.2404976448052802,932.52888826665
3000.0,2106.060606060606,0.1,0.04,0.23714594599903596,902.3468437864362
3000.0,2136.3636363636365,0.1,0.04,0.2338554654358281,872.1648131594948
3000.0,2166.666666666667,0.1,0.04,0.23062620311565668,841.9828082369372
3000.0,2196.969696969697,0.1,0.04,0.22745815903852168,811.8008507073346
3000.0,2227.272727272727,0.1,0.04,0.2243513332044232,781.6189799572703
3000.0,2257.5757575757575,0.1,0.04,0.22130572561336104,751.4372669095956
3000.0,2287.878787878788,0.1,0.04,0.2183213362653353,721.2558380935484
3000.0,2318.181818181818,0.1,0.04,0.21539816516034602,691.0749169584783
3000.0,2348.4848484848485,0.1,0.04,0.21253621229839315,660.894893749336
3000.0,2378.787878787879,0.1,0.04,0.20973547767947667,630.7164417852914
3000.0,2409.090909090909,0.1,0.04,0.2069959613035967,600.5407075127087
3000.0,2439.3939393939395,0.1,0.04,0.2043176631707531,570.3696150252335
3000.0,2469.69696969697,0.1,0.04,0.20170058328094592,540.2063433537364
3000.0,2500.0,0.1,0.04,0.1991447216341752,510.0560564221073
3000.0,2530.30303030303,0.1,0.04,0.19665007823044092,479.92698923602984
3000.0,2560.606060606061,0.1,0.04,0.19421665306974298,449.83201505400166
3000.0,2590.909090909091,0.1,0.04,0.19184444615208154,419.79082861892084
3000.0,2621.212121212121,0.1,0.04,0.18953345747745654,389.8328670866231
3000.0,2651.5151515151515,0.1,0.04,0.1872836870458679,360.00103601834735
3000.0,2681.818181818182,0.1,0.04,0.18509513485731569,330.3561941571479
3000.0,2712.121212121212,0.1,0.04,0.18296780091179995,300.9821635246185
3000.0,2742.4242424242425,0.1,0.04,0.18090168520932062,271.99077029789487
3000.0,2772.727272727273,0.1,0.04,0.1788967877498777,243.52611197772603
3000.0,2803.030303030303,0.1,0.04,0.1769531085334712,215.76694779425316
3000.0,2833.3333333333335,0.1,0.04,0.17507064756010113,188.9259193548205
3000.0,2863.636363636364,0.1,0.04,0.1732494048297675,163.24434773843632
3000.0,2893.939393939394,0.1,0.04,0.1714893803424703,138.98173176122373
3000.0,2924.242424242424,0.1,0.04,0.1697905740982095,116.39983957484196
3000.0,2954.5454545454545,0.1,0.04,0.16815298609698512,95.74237916566994
3000.0,2984.848484848485,0.1,0.04,0.16657661633879717,77.21244864633604
3000.0,3015.151515151515,0.1,0.04,0.16581904058122143,61.23769452393458
3000.0,3045.4545454545455,0.1,0.04,0.16588025882425786,47.865281065046474
3000.0,3075.757575757576,0.1,0.04,0.1660026953103307,36.72788485551314
3000.0,3106.060606060606,0.1,0.04,0.16618635003944,27.664447373802545
3000.0,3136.3636363636365,0.1,0.04,0.1664312230115857,20.45809202086207
3000.0,3166.666666666667,0.1,0.04,0.1667373142267678,14.858584595666116
3000.0,3196.969696969697,0.1,0.04,0.16710462368498635,10.604545445317683
3000.0,3227.272727272727,0.1,0.04,0.16753315138624134,7.442467000941633
3000.0,3257.575757575758,0.1,0.04,0.16802289733053274,5.140765051293073
3000.0,3287.878787878788,0.1,0.04,0.16857386151786055,3.498328053021936
3000.0,3318.181818181818,0.1,0.04,0.16918604394822478,2.3480297845048455
3000.0,3348.4848484848485,0.1,0.04,0.16985944462162547,1.5562874442867525
3000.0,3378.787878787879,0.1,0.04,0.17059406353806258,1.0199731167557857
3000.0,3409.090909090909,0.1,0.04,0.1713899006975361,0.6619101251281521
3000.0,3439.3939393939395,0.1,0.04,0.17224695610004603,0.42593297666403984
3000.0,3469.69696969697,0.1,0.04,0.17316522974559242,0.27217671849774483
3000.0,3500.0,0.1,0.04,0.17414472163417521,0.17297055048809362
3000.0,3530.3030303030305,0.1,0.04,0.17518543176579446,0.10948416893061896
3000.0,3560.6060606060605,0.1,0.04,0.17628736014045007,0.06912447154205381
3000.0,3590.909090909091,0.1,0.04,0.17745050675814217,0.04359622110892669
3000.0,3621.2121212121215,0.1,0.04,0.17867487161887066,0.02750583199136991
